0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
-697.7926,54.89004,0.6634655,12.435786,7.7339506,0.5307503,-3.2166312,-3.1593943,-10.977551,-2.848711,0.8152974,-3.0370667,1.9554465,-3.735668,0.43770027,0.7823566,-4.0714283,-1.8607763,-1.3236902,-0.9204633,-5.9476104,-0.50543815,-2.3373914,-4.522779,-1.6797222,-0.8193208,-4.858483,0.25533605,-2.1487038,0.14505501,-2.035756,-2.119634,-2.7125888,-1.836127,-3.204805,-1.5453686,-1.090937,-1.7701064,-3.501132,-1.5380875,neutral
-692.8558,55.363895,-1.5483193,16.038305,8.81881,-0.14658625,-1.3733919,-5.29318,-11.623182,-1.3482838,0.8437146,-2.6412783,1.0172496,-3.2715342,-0.12507762,0.4154959,-4.5127015,-0.98116016,-1.9375046,0.53967947,-5.461219,-0.873673,-2.0000944,-4.716795,-0.63707167,-1.6493348,-4.8043323,1.2920089,-2.3068979,0.16486627,-1.4563135,-2.6772985,-2.143264,-2.4610777,-3.0190277,-0.8048606,-1.2902696,-3.0869722,-3.2097483,-2.3071594,neutral
-691.5879,58.024662,0.15946473,13.62465,5.374113,1.1623366,-2.0833597,-5.382585,-10.332824,-3.6620808,0.5606006,-2.8382258,1.8347856,-3.4295056,-2.0089593,0.897352,-4.9566164,-3.0928066,0.084938,0.08255085,-5.342685,-1.0300522,-1.9516917,-3.3513253,-1.3088564,-0.32409537,-4.176977,-0.30928522,-2.1818516,-0.29272506,-1.8071278,-2.1343443,-2.3950417,-1.9029368,-2.7644315,-1.9791775,-1.1045034,-2.7295375,-3.5089064,-2.2463746,neutral
-685.10547,55.87942,2.7832625,13.252023,6.98967,2.9812741,-1.586029,-6.961661,-10.348489,-3.270769,1.1761652,-1.4986559,0.5515501,-2.7526164,-1.1690222,1.8486956,-4.3786407,-2.018788,-0.10291686,-0.6109348,-4.8114753,-1.8650616,-1.3410417,-2.669401,-2.077644,-0.9822339,-4.1827083,-0.024767298,-2.1837108,0.48159045,-2.439686,-2.1663747,-2.8813,-2.769905,-3.2363772,-1.457207,-0.9531056,-2.4500818,-3.4195793,-3.3672445,neutral
-727.1044,62.355034,3.121181,15.064669,8.132434,1.927084,-3.2746565,-3.7617915,-9.7502985,-4.853837,0.99631566,-3.1160698,0.5463205,-3.2890222,-0.41249597,1.5854981,-5.465042,-0.7176833,-1.1985662,-1.5290675,-4.65829,-1.3028666,-2.7385921,-4.288325,-1.7293988,-1.1769471,-4.8241954,1.3670596,-3.0660088,0.5510067,-2.091125,-1.2008951,-1.9106003,-2.4236846,-1.7693837,-0.41855636,-1.7917831,-1.7210655,-3.8579273,-2.7115366,calm
-707.3582,66.736465,2.2534885,11.169916,9.742079,1.058092,-4.426185,-4.6836147,-8.313273,-4.813666,1.7525572,-2.376542,-0.20691964,-3.468696,-1.5752851,1.1110423,-4.9100523,-2.1599278,-0.79209375,-1.4160712,-4.605169,-1.7617528,-2.5678155,-4.2619567,-2.12427,-1.3611802,-4.422169,0.3017364,-2.8640974,0.21939574,-3.3755891,-2.3204243,-3.3910594,-3.419351,-3.7625532,-1.2389066,-2.115808,-3.0562005,-4.286404,-4.068605,calm
-697.16614,65.1082,0.930368,13.633627,5.9595957,2.89507,-1.3418185,-4.775753,-8.671515,-4.5529985,1.9706045,-1.6276461,1.4267263,-4.5126815,1.4856335,0.120333485,-6.2861857,-2.6441517,-0.073655285,-1.7246207,-5.888149,-1.4929606,-2.2940516,-3.2510755,-2.3311152,-1.0499363,-5.421697,0.8989102,-3.8330967,-0.110061206,-3.140546,-1.7525978,-2.5507138,-3.1152203,-4.218177,-2.0304513,-2.1678352,-2.3133814,-4.758384,-2.8727636,calm
-698.6377,68.698586,1.1003665,13.685943,8.338751,2.0671213,-0.6167906,-5.732325,-7.861324,-4.411918,1.0114726,-1.7058653,1.5934341,-3.5992131,0.6062445,1.1798764,-5.454558,-1.8621153,-0.45047098,-1.0337068,-6.3316135,-1.5091119,-2.3525429,-2.0545113,-2.5646596,-0.628965,-4.3460937,0.17338055,-3.8308544,0.064848006,-3.471006,-1.7393601,-2.2344453,-2.612775,-3.4992464,-1.792194,-1.2107459,-2.3667257,-3.489472,-3.3519742,calm
-734.1256,70.53291,4.2251797,13.866501,9.276525,1.8420299,-3.7091064,-2.8845074,-6.3325033,-4.483915,2.0064912,-0.029675055,-0.17859097,-3.775252,0.14778885,0.4342369,-1.8853136,-2.5887418,-0.40041512,1.0377576,-7.0278807,0.003850937,-2.6830063,-3.9310708,-1.9202538,-0.77792203,-3.2663581,1.0042131,-3.246114,0.18153057,-3.5314636,-2.875877,-3.8215022,-2.0913365,-5.326285,0.48854417,-2.8973765,-2.430001,-4.8473377,-3.196199,calm
-697.8223,67.33959,-0.4495511,11.884349,6.899115,0.5723886,-4.5503764,-6.025094,-7.9348655,-4.8724413,2.6747522,-1.4644698,-1.1086311,-4.68031,-0.1066446,-0.87412363,-4.023424,-2.223397,-0.7571646,-0.25101382,-6.4024,0.11486975,-2.1894188,-3.664039,-2.400217,-1.5357817,-4.5921235,0.12194201,-2.7362068,-0.65316004,-3.9872088,-2.4405167,-4.265292,-2.8770092,-5.2783966,-1.1333705,-2.1303873,-2.2514794,-4.45834,-3.4148383,calm
-704.5413,68.82944,4.728955,11.950599,5.638883,5.8340936,-4.8624907,-4.862799,-8.308453,-4.8761907,2.3179216,1.2227511,0.5954945,-4.02567,1.7289726,-0.8497865,-4.325156,-1.9796419,-1.6255349,-0.3870318,-7.3322363,-0.3029409,-1.2871861,-4.5589495,-2.4062345,0.3851673,-5.131937,1.4207472,-4.4241714,-0.03367971,-4.0379896,-2.1042745,-2.885348,-2.8581388,-4.423223,-0.38969845,-1.7169569,-3.313168,-4.8602934,-2.7604816,calm
-690.9957,65.29337,-3.5145001,14.551637,6.7378373,2.9514792,-4.3670077,-8.268066,-9.742737,-3.7135794,3.773647,-0.95878893,-0.26622173,-5.5189137,-0.3622315,0.16217905,-4.594704,-2.3552377,-0.5806328,-0.104393765,-6.9711237,-1.6309108,-1.4904834,-3.8059676,-1.2474346,-0.42407548,-4.197308,0.86163235,-2.7490773,-0.873581,-4.3151817,-3.0117178,-3.8715644,-2.7312014,-4.351267,-0.6213459,-1.6469697,-3.1889267,-4.620323,-3.8928413,calm
-645.95465,63.1167,-4.3889437,12.588353,4.241157,-2.902262,-5.6718726,-6.6233644,-11.532384,-2.3804142,-1.2910128,-6.802653,1.1827936,-4.6723757,-2.4135501,2.165879,-8.006255,-2.8629198,-2.44791,-2.5724356,-5.8621316,-0.08601415,-3.01738,-4.7407756,-2.6895833,-2.0261843,-5.190275,0.17098032,-4.0623984,-1.1081642,-2.9269888,-2.694084,-2.6108174,-3.7561111,-4.2394943,-2.3900456,-2.5107348,-0.7905223,-2.0516572,-0.81858724,happy
-631.407,62.999477,-5.8192096,15.460055,6.526638,-1.588887,-6.5974174,-4.806329,-13.677244,-1.3645009,0.1333666,-6.3668647,3.405448,-3.9404101,-2.185833,3.2448373,-7.8401256,-2.7657778,0.29460323,-1.7035344,-6.209854,-0.052585702,-3.6594768,-5.5364003,-0.5274119,-1.0415535,-3.5720427,-0.56174314,-3.7607331,-1.1737199,-1.6179535,-3.4460375,-1.6974658,-2.9603076,-3.1057088,-1.6062299,-1.1414216,-2.0415542,-2.35345,-1.0229889,happy
-656.2289,62.20653,-2.343208,12.91607,1.824128,-0.1707133,-5.6699905,-7.286775,-13.776975,-3.3122015,2.3617582,-7.0014296,1.9307773,-4.1537447,-0.65423965,1.5832626,-6.7616467,-1.9936142,-0.9640439,-3.3046405,-5.0840483,-1.9697591,-2.400224,-3.7728615,-2.4584548,-0.44784355,-5.1322937,1.2209514,-2.6825628,-0.74728674,-2.4842525,-2.3304615,-2.457477,-3.7256908,-3.6353137,-1.8423868,-1.7079575,-1.1942447,-3.640783,-2.2219522,happy
-652.70056,57.02253,0.41844025,18.289316,2.6309884,0.4183554,-2.5292726,-6.284706,-13.434198,-3.6181443,0.6169872,-4.589428,2.5763223,-4.2168145,-0.77875566,1.1893742,-7.2837725,-2.2791338,-1.241202,-2.5630088,-5.5543027,-1.4302952,-2.6229515,-4.238898,-2.8871403,0.26502198,-6.4183683,0.5125979,-4.0200987,-0.4850924,-3.1079564,-1.983989,-2.9109612,-2.8654327,-3.793431,-1.8354441,-2.234406,-2.4365897,-4.5005555,-1.9647106,happy
-596.5581,49.15078,-5.9865155,5.6085687,-1.2716353,-1.2067614,-12.037278,-8.81426,-11.101424,-8.968306,-0.68170965,-7.0525784,-1.9013768,-3.7996504,-6.7520075,-0.81947607,-7.4246135,-2.969019,-2.850928,-4.9095936,-5.343441,-2.986924,-3.9913344,-4.4437118,-3.3355637,-1.5795554,-1.9772519,2.660265,0.93378234,1.0087048,-2.1869733,-1.4884174,-1.6310315,1.3583602,1.2614254,5.331981,2.3744237,0.6982367,-1.3422889,-0.6930716,happy
-559.92334,54.875935,-11.518561,5.4953065,2.415871,-1.8642914,-11.11178,-7.596749,-14.508148,-7.4336433,3.2631526,-7.8864737,-1.6498953,-1.9573466,-5.9639144,0.7812491,-7.343446,-5.8790884,-2.509664,-4.6244674,-6.1748896,-4.1182823,-3.4663486,-4.506298,-2.1654797,1.0347383,-4.192087,0.8478882,-0.84736663,-2.3613634,-0.8797831,1.862661,0.8538133,1.2811965,-0.4389116,4.214331,4.243508,5.298574,1.6244533,0.023601677,happy
